obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
325,11.53999996,1,0,1,12,35,53,1,0,2.445819139,420,1,12,35,0,0
326,7.300000191,1,0,0,12,0,18,0,0,1.987874389,0,1,12,0,0,0
327,7,1,0,0,16,3,25,0,0,1.945910096,48,1,16,3,0,0
328,8,0,0,0,12,8,26,0,0,2.079441547,96,0,0,0,0,0
329,7,0,0,1,12,41,59,0,0,1.945910096,492,0,0,0,0,0
330,5.5,1,1,0,12,2,20,0,1,1.704748034,24,1,12,2,1,12
331,10,1,1,0,12,9,27,0,1,2.302585125,108,1,12,9,1,12
332,40,0,0,0,18,41,65,1,0,3.68887949,738,0,0,0,0,0
333,11.53999996,1,0,0,16,3,25,1,0,2.445819139,48,1,16,3,0,0
334,14.43000031,1,0,0,12,6,24,1,0,2.669309378,72,1,12,6,0,0
335,22.5,0,0,0,18,3,27,1,0,3.113515377,54,0,0,0,0,0
336,8.420000076,1,0,0,12,23,41,1,0,2.130609751,276,1,12,23,0,0
337,13.75,0,0,0,12,36,54,0,0,2.621038914,432,0,0,0,0,0
338,5.340000153,1,0,0,12,32,50,0,0,1.675225735,384,1,12,32,0,0
339,12.02999973,0,1,0,12,8,26,1,0,2.487403393,96,0,0,0,1,12
340,7,1,1,1,12,7,25,0,1,1.945910096,84,1,12,7,1,12
341,5.099999905,0,0,0,5,36,47,0,0,1.629240513,180,0,0,0,0,0
342,12.5,1,0,0,18,0,24,1,0,2.525728703,0,1,18,0,0,0
343,16,1,0,0,16,9,31,0,0,2.77258873,144,1,16,9,0,0
344,25,0,0,1,12,24,42,0,0,3.218875885,288,0,0,0,0,0
345,12.97999954,0,0,1,12,37,55,1,0,2.563409567,444,0,0,0,0,0
346,6.920000076,1,0,0,1,26,33,0,0,1.934415817,26,1,1,26,0,0
347,9.380000114,1,1,0,18,9,33,1,1,2.23857975,162,1,18,9,1,18
348,37.5,0,0,0,16,35,57,1,0,3.624341011,560,0,0,0,0,0
349,19.22999954,0,0,0,20,12,38,0,0,2.956471443,240,0,0,0,0,0
350,11.18999958,1,0,0,16,29,51,1,0,2.415020466,464,1,16,29,0,0
351,11.5,1,0,0,12,29,47,0,0,2.44234705,348,1,12,29,0,0
352,14.64000034,1,0,0,14,12,32,1,0,2.683757544,168,1,14,12,0,0
353,25,0,0,1,14,30,50,0,0,3.218875885,420,0,0,0,0,0
354,9,0,0,0,11,13,30,0,0,2.197224617,143,0,0,0,0,0
355,14.90999985,1,0,0,12,20,38,1,0,2.702032089,240,1,12,20,0,0
356,8.5,0,0,0,14,2,22,1,0,2.140066147,28,0,0,0,0,0
357,21.15999985,0,0,0,16,9,31,1,0,3.052112579,144,0,0,0,0,0
358,17.04999924,1,0,0,18,23,47,1,0,2.836150169,414,1,18,23,0,0
359,6.099999905,1,0,0,12,6,24,0,0,1.808288813,72,1,12,6,0,0
360,15.94999981,0,0,0,16,14,36,1,0,2.769458771,224,0,0,0,0,0
361,9.789999962,0,0,1,12,21,39,0,0,2.281361341,252,0,0,0,0,0
362,14.15999985,1,0,0,16,9,31,1,0,2.650421143,144,1,16,9,0,0
363,28.37999916,0,0,0,14,31,51,1,0,3.345684528,434,0,0,0,0,0
364,5.5,0,0,0,1,25,32,0,0,1.704748034,25,0,0,0,0,0
365,5,0,0,1,12,9,27,0,0,1.609437943,108,0,0,0,0,0
366,11.52999973,1,0,0,12,26,44,1,0,2.44495225,312,1,12,26,0,0
367,16,0,0,0,16,7,29,0,0,2.77258873,112,0,0,0,0,0
368,33.22000122,0,0,0,18,13,37,1,0,3.503152132,234,0,0,0,0,0
369,12,0,0,0,12,15,33,0,0,2.484906673,180,0,0,0,0,0
370,19.25,1,0,0,12,22,40,1,0,2.957510948,264,1,12,22,0,0
371,38.45000076,1,0,0,12,32,50,1,0,3.649358749,384,1,12,32,0,0
372,4.25,1,0,0,12,3,21,0,0,1.446918964,36,1,12,3,0,0
373,0.839999974,1,0,0,10,35,51,1,0,-0.174353421,350,1,10,35,0,0
374,7.059999943,1,1,0,12,12,30,0,1,1.954445004,144,1,12,12,1,12
375,4.75,1,0,0,12,1,19,0,0,1.558144569,12,1,12,1,0,0
376,4,0,1,0,12,7,25,0,0,1.386294365,84,0,0,0,1,12
377,15,1,0,0,11,38,55,1,0,2.708050251,418,1,11,38,0,0
378,23.07999992,0,0,0,16,8,30,1,0,3.138966322,128,0,0,0,0,0
379,17.5,1,0,0,18,38,62,0,0,2.862200975,684,1,18,38,0,0
380,13.75,1,0,0,12,14,32,1,0,2.621038914,168,1,12,14,0,0
381,5,1,0,0,12,17,35,0,0,1.609437943,204,1,12,17,0,0
382,8,0,0,0,11,5,22,0,0,2.079441547,55,0,0,0,0,0
383,10,1,0,0,12,9,27,0,0,2.302585125,108,1,12,9,0,0
384,21.02000046,0,0,0,16,9,31,1,0,3.045474291,144,0,0,0,0,0
385,6.039999962,1,0,0,12,21,39,0,0,1.798403978,252,1,12,21,0,0
386,7,1,0,0,12,8,26,0,0,1.945910096,96,1,12,8,0,0
387,4.25,0,1,0,12,3,21,0,0,1.446918964,36,0,0,0,1,12
388,11,1,0,1,12,23,41,0,0,2.397895336,276,1,12,23,0,0
389,4.5,0,0,0,9,23,38,0,0,1.504077435,207,0,0,0,0,0
390,18,0,0,1,12,28,46,0,0,2.890371799,336,0,0,0,0,0
391,9,0,0,0,12,6,24,0,0,2.197224617,72,0,0,0,0,0
392,12,1,0,0,14,16,36,0,0,2.484906673,224,1,14,16,0,0
393,17.86000061,0,0,1,16,22,44,1,0,2.882563591,352,0,0,0,0,0
394,26.92000008,0,0,0,16,31,53,1,0,3.292869568,496,0,0,0,0,0
395,16.25,1,0,0,16,13,35,0,0,2.788092852,208,1,16,13,0,0
396,8.75,0,0,0,12,17,35,1,0,2.169053793,204,0,0,0,0,0
397,14.47999954,1,0,0,18,12,36,1,0,2.672768354,216,1,18,12,0,0
398,24.04999924,0,0,1,14,26,46,1,0,3.180135012,364,0,0,0,0,0
399,3.849999905,0,0,0,12,18,36,1,0,1.348073125,216,0,0,0,0,0
400,27.87999916,0,0,0,16,27,49,1,0,3.32790947,432,0,0,0,0,0
401,5,1,0,0,12,43,61,0,0,1.609437943,516,1,12,43,0,0
402,16.5,0,0,0,16,12,34,1,0,2.803360462,192,0,0,0,0,0
403,7.210000038,1,0,0,12,33,51,0,0,1.975468993,396,1,12,33,0,0
404,13.44999981,1,0,0,12,38,56,1,0,2.598978996,456,1,12,38,0,0
405,10.05000019,0,0,0,11,22,39,0,0,2.307572603,242,0,0,0,0,0
406,4.25,1,0,0,12,5,23,0,0,1.446918964,60,1,12,5,0,0
407,6.75,1,0,0,12,22,40,0,0,1.909542561,264,1,12,22,0,0
408,15,0,0,1,20,16,42,1,0,2.708050251,320,0,0,0,0,0
409,7.5,1,0,0,18,19,43,0,0,2.014903069,342,1,18,19,0,0
410,8.5,0,0,0,14,6,26,0,0,2.140066147,84,0,0,0,0,0
411,7.210000038,1,0,0,12,20,38,0,0,1.975468993,240,1,12,20,0,0
412,9.020000458,0,0,0,12,25,43,0,0,2.199444294,300,0,0,0,0,0
413,5,1,0,0,12,9,27,0,0,1.609437943,108,1,12,9,0,0
414,5.349999905,1,0,0,14,8,28,0,0,1.677096486,112,1,14,8,0,0
415,6,0,0,0,12,4,22,0,0,1.791759491,48,0,0,0,0,0
416,9,1,0,0,12,29,47,0,0,2.197224617,348,1,12,29,0,0
417,2.299999952,1,0,0,12,5,23,0,0,0.832909107,60,1,12,5,0,0
418,5,1,0,0,12,3,21,0,0,1.609437943,36,1,12,3,0,0
419,11.35000038,1,0,0,7,35,48,0,0,2.429217815,245,1,7,35,0,0
420,5,0,0,0,12,2,20,0,0,1.609437943,24,0,0,0,0,0
421,8,0,0,0,12,5,23,0,0,2.079441547,60,0,0,0,0,0
422,7.989999771,0,0,0,12,20,38,1,0,2.078190804,240,0,0,0,0,0
423,14,1,0,1,12,24,42,0,0,2.639057398,288,1,12,24,0,0
424,10.57999992,1,0,0,14,3,23,1,0,2.358965397,42,1,14,3,0,0
425,15.38000011,0,0,0,11,24,41,1,0,2.733067989,264,0,0,0,0,0
426,15,0,0,0,16,8,30,1,0,2.708050251,128,0,0,0,0,0
427,13,1,0,0,14,32,52,0,0,2.564949274,448,1,14,32,0,0
428,4.440000057,0,1,0,12,6,24,1,0,1.490654349,72,0,0,0,1,12
429,15.43000031,1,1,0,12,31,49,1,1,2.736313581,372,1,12,31,1,12
430,9,0,0,0,12,4,22,0,0,2.197224617,48,0,0,0,0,0
431,14.18000031,1,0,0,12,39,57,1,0,2.651832581,468,1,12,39,0,0
432,14.96000004,0,0,0,16,9,31,1,0,2.705379963,144,0,0,0,0,0
433,30.78000069,0,0,0,20,27,53,1,0,3.426865101,540,0,0,0,0,0
434,17,0,0,0,12,24,42,0,0,2.833213329,288,0,0,0,0,0
435,8.5,1,0,0,14,13,33,0,0,2.140066147,182,1,14,13,0,0
436,6.75,1,0,0,16,6,28,1,0,1.909542561,96,1,16,6,0,0
437,12.5,0,0,0,12,10,28,0,0,2.525728703,120,0,0,0,0,0
438,22.29999924,0,0,0,16,20,42,1,0,3.104586601,320,0,0,0,0,0
439,5,0,0,0,16,21,43,0,0,1.609437943,336,0,0,0,0,0
440,4.900000095,0,0,0,12,3,21,0,0,1.589235187,36,0,0,0,0,0
441,13.75,0,0,1,12,40,58,1,0,2.621038914,480,0,0,0,0,0
442,8.600000381,1,1,0,12,17,35,0,1,2.151762247,204,1,12,17,1,12
443,6.519999981,0,0,0,12,46,64,0,0,1.874874353,552,0,0,0,0,0
444,4.800000191,1,0,0,12,15,33,1,0,1.568615913,180,1,12,15,0,0
445,16,0,0,1,12,28,46,0,0,2.77258873,336,0,0,0,0,0
446,5,0,0,0,11,1,18,0,0,1.609437943,11,0,0,0,0,0
447,5.75,0,0,0,12,3,21,0,0,1.749199867,36,0,0,0,0,0
448,7,1,1,0,12,25,43,0,1,1.945910096,300,1,12,25,1,12
449,8.850000381,1,1,0,12,15,33,0,1,2.180417538,180,1,12,15,1,12
450,18.87000084,0,0,0,14,14,34,1,0,2.937573433,196,0,0,0,0,0
451,30.75,0,0,0,18,27,51,1,0,3.425889969,486,0,0,0,0,0
452,5.300000191,1,0,0,12,15,33,0,0,1.667706847,180,1,12,15,0,0
453,28.82999992,1,0,0,14,20,40,1,0,3.361416578,280,1,14,20,0,0
454,4.329999924,1,0,0,11,26,43,1,0,1.46556747,286,1,11,26,0,0
455,6.039999962,0,0,0,12,34,52,1,0,1.798403978,408,0,0,0,0,0
456,18.69000053,0,0,1,16,9,31,0,0,2.927988768,144,0,0,0,0,0
457,13.5,1,0,0,12,36,54,0,0,2.602689743,432,1,12,36,0,0
458,17.88999939,1,0,1,12,24,42,0,0,2.884241819,288,1,12,24,0,0
459,13.75,1,0,0,16,9,31,1,0,2.621038914,144,1,16,9,0,0
460,7.199999809,1,0,0,12,11,29,0,0,1.974081039,132,1,12,11,0,0
461,7,1,0,0,12,1,19,0,0,1.945910096,12,1,12,1,0,0
462,5,1,0,0,12,10,28,0,0,1.609437943,120,1,12,10,0,0
463,17,1,0,0,12,38,56,0,0,2.833213329,456,1,12,38,0,0
464,10,0,0,1,12,9,27,0,0,2.302585125,108,0,0,0,0,0
465,28.85000038,0,1,0,12,20,38,1,0,3.3621099,240,0,0,0,1,12
466,13.5,1,0,0,16,2,24,1,0,2.602689743,32,1,16,2,0,0
467,7,1,0,0,16,11,33,0,0,1.945910096,176,1,16,11,0,0
468,13.43999958,1,1,1,12,16,34,0,1,2.598235369,192,1,12,16,1,12
469,6,1,1,0,12,4,22,0,1,1.791759491,48,1,12,4,1,12
470,9,0,0,1,12,0,18,0,0,2.197224617,0,0,0,0,0,0
471,10.10000038,0,1,0,12,11,29,0,0,2.312535524,132,0,0,0,1,12
472,16.82999992,0,1,0,12,27,45,1,0,2.823163033,324,0,0,0,1,12
473,20.20000076,1,0,0,12,15,33,1,0,3.005682707,180,1,12,15,0,0
474,8,1,0,0,12,41,59,0,0,2.079441547,492,1,12,41,0,0
475,12.13000011,1,0,0,12,23,41,1,0,2.495681763,276,1,12,23,0,0
476,3,1,0,0,16,2,24,0,0,1.098612309,32,1,16,2,0,0
477,4.349999905,1,0,0,12,18,36,0,0,1.470175862,216,1,12,18,0,0
478,15.06000042,1,0,1,16,28,50,0,0,2.712042332,448,1,16,28,0,0
479,5.25,1,0,0,16,5,27,0,0,1.65822804,80,1,16,5,0,0
480,21.14999962,1,0,0,12,17,35,1,0,3.051639795,204,1,12,17,0,0
481,16.82999992,0,0,0,12,40,58,1,0,2.823163033,480,0,0,0,0,0
482,8.75,1,0,0,9,48,63,0,0,2.169053793,432,1,9,48,0,0
483,9.470000267,1,0,0,12,24,42,1,0,2.248128891,288,1,12,24,0,0
484,9.050000191,1,0,0,12,27,45,0,0,2.20276475,324,1,12,27,0,0
485,11.52999973,0,0,0,12,14,32,1,0,2.44495225,168,0,0,0,0,0
486,13,1,0,0,12,38,56,0,0,2.564949274,456,1,12,38,0,0
487,5,1,0,0,16,6,28,0,0,1.609437943,96,1,16,6,0,0
488,11,0,0,0,12,29,47,0,0,2.397895336,348,0,0,0,0,0
489,10.67000008,1,0,0,12,21,39,1,0,2.367436171,252,1,12,21,0,0
490,9.5,0,0,0,12,6,24,0,0,2.251291752,72,0,0,0,0,0
491,17.78000069,0,0,0,12,18,36,1,0,2.878074169,216,0,0,0,0,0
492,26.93000031,1,0,0,16,13,35,1,0,3.293241024,208,1,16,13,0,0
493,10,1,0,0,12,41,59,0,0,2.302585125,492,1,12,41,0,0
494,28.35000038,0,0,0,16,34,56,1,0,3.344627142,544,0,0,0,0,0
495,8,0,0,0,7,30,43,0,0,2.079441547,210,0,0,0,0,0
496,20.68000031,1,0,1,18,20,44,1,0,3.029167175,360,1,18,20,0,0
497,21.62999916,1,0,0,16,11,33,1,0,3.074081182,176,1,16,11,0,0
498,16.29999924,0,0,1,12,21,39,0,0,2.791165113,252,0,0,0,0,0
499,19.94000053,1,0,0,18,34,58,0,0,2.992727757,612,1,18,34,0,0
500,11.25,1,0,1,11,40,57,1,0,2.420368195,440,1,11,40,0,0
501,11.72999954,0,0,0,16,22,44,0,0,2.46214962,352,0,0,0,0,0
502,12,1,0,0,14,20,40,0,0,2.484906673,280,1,14,20,0,0
503,18.15999985,1,0,1,14,32,52,1,0,2.89922142,448,1,14,32,0,0
504,7.150000095,0,0,0,12,1,19,0,0,1.967112422,12,0,0,0,0,0
505,38.45000076,1,0,0,18,18,42,1,0,3.649358749,324,1,18,18,0,0
506,25.43000031,1,0,0,18,17,41,1,0,3.235929489,306,1,18,17,0,0
507,18.45999908,1,0,0,18,27,51,1,0,2.91560626,486,1,18,27,0,0
508,36.04999924,0,1,0,18,9,33,1,0,3.584906816,162,0,0,0,1,18
509,7.880000114,1,0,0,20,15,41,1,0,2.064327955,300,1,20,15,0,0
510,6,1,0,1,12,5,23,0,0,1.791759491,60,1,12,5,0,0
511,38.45999908,0,0,0,16,31,53,1,0,3.649618626,496,0,0,0,0,0
512,25.88999939,1,0,0,16,12,34,1,0,3.253856659,192,1,16,12,0,0
513,48.08000183,0,0,0,16,38,60,1,0,3.872866392,608,0,0,0,0,0
514,9.5,0,0,0,12,18,36,0,0,2.251291752,216,0,0,0,0,0
515,16.60000038,1,0,0,16,16,38,1,0,2.809402704,256,1,16,16,0,0
516,6.5,1,0,0,11,21,38,0,0,1.871802211,231,1,11,21,0,0
517,8,1,0,0,12,6,24,0,0,2.079441547,72,1,12,6,0,0
518,18.75,1,0,0,12,30,48,1,0,2.931193829,360,1,12,30,0,0
519,6.5,1,0,0,10,42,58,0,0,1.871802211,420,1,10,42,0,0
520,12.5,1,0,0,16,19,41,1,0,2.525728703,304,1,16,19,0,0
521,17,0,0,1,14,27,47,0,0,2.833213329,378,0,0,0,0,0
522,5.349999905,1,0,0,12,13,31,0,0,1.677096486,156,1,12,13,0,0
523,39,0,0,0,16,25,47,0,0,3.663561583,400,0,0,0,0,0
524,12.5,0,0,1,12,26,44,1,0,2.525728703,312,0,0,0,0,0
525,10.84000015,1,0,0,12,38,56,1,0,2.383243084,456,1,12,38,0,0
526,9,1,0,0,12,31,49,0,0,2.197224617,372,1,12,31,0,0
527,8,0,0,0,12,6,24,0,0,2.079441547,72,0,0,0,0,0
528,8.5,1,0,0,16,7,29,0,0,2.140066147,112,1,16,7,0,0
529,5.75,1,1,0,16,12,34,1,1,1.749199867,192,1,16,12,1,16
530,9,1,0,0,12,26,44,0,0,2.197224617,312,1,12,26,0,0
531,8,0,0,0,9,22,37,0,0,2.079441547,198,0,0,0,0,0
532,17.29999924,0,0,1,18,22,46,1,0,2.850706339,396,0,0,0,0,0
533,5,1,0,0,12,14,32,0,0,1.609437943,168,1,12,14,0,0
534,5,0,0,0,12,35,53,0,0,1.609437943,420,0,0,0,0,0
535,21.89999962,0,0,1,14,17,37,0,0,3.086486578,238,0,0,0,0,0
536,10.05000019,1,0,1,12,23,41,0,0,2.307572603,276,1,12,23,0,0
537,17.75,0,0,0,12,21,39,0,0,2.87638545,252,0,0,0,0,0
538,4.599999905,1,0,0,12,3,21,0,0,1.52605629,36,1,12,3,0,0
539,4.25,1,0,0,12,6,24,0,0,1.446918964,72,1,12,6,0,0
540,9.340000153,0,0,1,12,29,47,0,0,2.234306335,348,0,0,0,0,0
541,8.56000042,1,0,0,12,12,30,1,0,2.14710021,144,1,12,12,0,0
542,25,0,0,0,12,6,24,0,0,3.218875885,72,0,0,0,0,0
543,7,1,0,0,12,28,46,0,0,1.945910096,336,1,12,28,0,0
544,23.95000076,0,0,1,16,40,62,1,0,3.175968409,640,0,0,0,0,0
545,4.650000095,0,0,0,12,35,53,0,0,1.536867261,420,0,0,0,0,0
546,7.150000095,0,0,0,14,4,24,0,0,1.967112422,56,0,0,0,0,0
547,9.890000343,1,0,0,12,35,53,1,0,2.291524172,420,1,12,35,0,0
548,18.64999962,1,0,1,18,15,39,1,0,2.9258461,270,1,18,15,0,0
549,11.63000011,0,0,0,12,23,41,1,0,2.453588009,276,0,0,0,0,0
550,6.599999905,0,0,0,14,10,30,1,0,1.887069583,140,0,0,0,0,0
551,10.80000019,1,0,0,12,16,34,0,0,2.379546165,192,1,12,16,0,0
552,22.63999939,0,0,0,20,14,40,1,0,3.119718313,280,0,0,0,0,0
553,6.75,1,0,0,12,34,52,0,0,1.909542561,408,1,12,34,0,0
554,8,0,1,0,12,4,22,0,0,2.079441547,48,0,0,0,1,12
555,9.609999657,1,0,0,12,12,30,0,0,2.26280427,144,1,12,12,0,0
556,4.25,1,0,0,12,12,30,0,0,1.446918964,144,1,12,12,0,0
557,8.779999733,1,0,1,12,18,36,0,0,2.172476292,216,1,12,18,0,0
558,5.579999924,1,0,0,10,10,26,0,0,1.719188809,100,1,10,10,0,0
559,7.099999905,1,0,0,12,40,58,0,0,1.96009481,480,1,12,40,0,0
560,7,1,0,1,14,13,33,0,0,1.945910096,182,1,14,13,0,0
561,9,1,0,0,18,14,38,0,0,2.197224617,252,1,18,14,0,0
562,5,0,0,0,11,1,18,0,0,1.609437943,11,0,0,0,0,0
563,18,0,0,0,12,34,52,0,0,2.890371799,408,0,0,0,0,0
564,18,0,0,1,12,23,41,0,0,2.890371799,276,0,0,0,0,0
565,16.82999992,1,0,0,12,18,36,1,0,2.823163033,216,1,12,18,0,0
566,25.63999939,0,0,0,16,29,51,1,0,3.2441535,464,0,0,0,0,0
567,9.25,1,0,0,12,39,57,0,0,2.224623442,468,1,12,39,0,0
568,19.42000008,0,0,0,16,30,52,1,0,2.966303349,480,0,0,0,0,0
569,12.72000027,0,0,0,16,14,36,0,0,2.543175697,224,0,0,0,0,0
570,18.44000053,0,0,1,12,21,39,0,0,2.914522171,252,0,0,0,0,0
571,4.860000134,0,0,1,7,52,65,0,0,1.581038475,364,0,0,0,0,0
572,12,0,0,0,12,24,42,0,0,2.484906673,288,0,0,0,0,0
573,38.45999908,0,0,0,16,23,45,1,0,3.649618626,368,0,0,0,0,0
574,8.430000305,0,1,1,12,22,40,0,0,2.131796837,264,0,0,0,1,12
575,7,1,1,1,7,21,34,0,1,1.945910096,147,1,7,21,1,7
576,14.10000038,0,1,1,16,11,33,1,0,2.646174908,176,0,0,0,1,16
577,11,0,0,0,16,24,46,0,0,2.397895336,384,0,0,0,0,0
578,26.60000038,0,0,0,12,38,56,1,0,3.280911207,456,0,0,0,0,0
579,13,1,1,0,12,16,34,0,1,2.564949274,192,1,12,16,1,12
580,15,0,0,0,12,32,50,0,0,2.708050251,384,0,0,0,0,0
581,5,1,1,0,12,7,25,0,1,1.609437943,84,1,12,7,1,12
582,7.5,0,1,1,16,25,47,0,0,2.014903069,400,0,0,0,1,16
583,19,1,1,0,12,30,48,0,1,2.944438934,360,1,12,30,1,12
584,7,1,0,0,12,13,31,0,0,1.945910096,156,1,12,13,0,0
585,16.35000038,0,0,0,18,10,34,0,0,2.794227839,180,0,0,0,0,0
586,9.680000305,1,0,0,12,17,35,0,0,2.27006197,204,1,12,17,0,0
587,9.5,1,0,0,12,43,61,0,0,2.251291752,516,1,12,43,0,0
588,35.38000107,0,0,0,16,16,38,1,0,3.566146612,256,0,0,0,0,0
589,13.64000034,0,0,0,12,17,35,1,0,2.613006592,204,0,0,0,0,0
590,16.82999992,0,1,0,12,38,56,1,0,2.823163033,456,0,0,0,1,12
591,6.190000057,0,0,0,12,22,40,0,0,1.822935104,264,0,0,0,0,0
592,27.46999931,0,0,0,16,25,47,1,0,3.313094378,400,0,0,0,0,0
593,13.10000038,1,0,1,12,34,52,0,0,2.572612286,408,1,12,34,0,0
594,10.30000019,1,0,0,12,14,32,0,0,2.332144022,168,1,12,14,0,0
595,8,0,0,0,12,4,22,0,0,2.079441547,48,0,0,0,0,0
596,7.78000021,0,0,0,12,21,39,0,0,2.051556349,252,0,0,0,0,0
597,5,1,0,0,16,1,23,0,0,1.609437943,16,1,16,1,0,0
598,30.57999992,0,0,0,16,21,43,1,0,3.42034626,336,0,0,0,0,0
599,10,0,0,1,12,32,50,0,0,2.302585125,384,0,0,0,0,0
600,16.35000038,1,0,0,20,13,39,1,0,2.794227839,260,1,20,13,0,0
601,9.5,0,0,0,12,12,30,0,0,2.251291752,144,0,0,0,0,0
602,12.11999989,1,0,0,12,40,58,0,0,2.494857073,480,1,12,40,0,0
603,17.27000046,1,0,0,16,19,41,0,0,2.84897089,304,1,16,19,0,0
604,12,1,0,1,14,8,28,0,0,2.484906673,112,1,14,8,0,0
605,5,1,1,0,12,19,37,0,1,1.609437943,228,1,12,19,1,12
606,25.47999954,0,0,0,12,16,34,1,0,3.23789382,192,0,0,0,0,0
607,5.5,1,1,0,12,13,31,0,1,1.704748034,156,1,12,13,1,12
608,32.93000031,0,1,0,20,13,39,1,0,3.49438405,260,0,0,0,1,20
609,6.400000095,1,1,0,12,6,24,1,1,1.85629797,72,1,12,6,1,12
610,20.20000076,0,0,0,12,16,34,1,0,3.005682707,192,0,0,0,0,0
611,14,0,0,0,11,29,46,0,0,2.639057398,319,0,0,0,0,0
612,6,1,0,0,12,6,24,0,0,1.791759491,72,1,12,6,0,0
613,9.630000114,1,0,0,12,16,34,1,0,2.26488328,192,1,12,16,0,0
614,9.609999657,0,0,0,20,9,35,1,0,2.26280427,180,0,0,0,0,0
615,8.899999619,0,1,0,14,9,29,0,0,2.18605113,126,0,0,0,1,14
616,16.67000008,0,0,0,12,3,21,1,0,2.813610792,36,0,0,0,0,0
617,11,0,0,0,12,3,21,0,0,2.397895336,36,0,0,0,0,0
618,7.699999809,1,1,0,12,6,24,0,1,2.041220188,72,1,12,6,1,12
619,14.43000031,0,0,0,12,20,38,1,0,2.669309378,240,0,0,0,0,0
620,24.87000084,1,0,0,16,28,50,0,0,3.213662386,448,1,16,28,0,0
621,19,1,1,0,14,18,38,0,1,2.944438934,252,1,14,18,1,14
622,4.5,1,1,0,12,16,34,0,1,1.504077435,192,1,12,16,1,12
623,6,0,1,0,12,47,65,0,0,1.791759491,564,0,0,0,1,12
624,21.07999992,0,0,0,16,14,36,1,0,3.048324823,224,0,0,0,0,0
625,9.579999924,1,1,0,14,13,33,0,1,2.259677649,182,1,14,13,1,14
626,12,0,0,0,12,30,48,0,0,2.484906673,360,0,0,0,0,0
627,7.070000172,1,1,1,12,12,30,0,1,1.955860496,144,1,12,12,1,12
628,7,1,0,0,12,16,34,1,0,1.945910096,192,1,12,16,0,0
629,10.57999992,1,0,0,16,0,22,1,0,2.358965397,0,1,16,0,0,0
630,8.569999695,1,0,0,12,27,45,1,0,2.148267746,324,1,12,27,0,0
631,7.179999828,1,0,0,12,10,28,1,0,1.97129941,120,1,12,10,0,0
632,9.609999657,1,0,0,12,13,31,1,0,2.26280427,156,1,12,13,0,0
633,12.5,1,0,0,16,8,30,1,0,2.525728703,128,1,16,8,0,0
634,6.25,1,1,0,12,16,34,0,1,1.83258152,192,1,12,16,1,12
635,6,0,0,0,12,45,63,0,0,1.791759491,540,0,0,0,0,0
636,10,1,0,0,12,4,22,0,0,2.302585125,48,1,12,4,0,0
637,24.03000069,0,1,0,20,32,58,1,0,3.179303169,640,0,0,0,1,20
638,38.45999908,0,0,0,16,18,40,1,0,3.649618626,288,0,0,0,0,0
639,5.5,0,0,0,16,8,30,0,0,1.704748034,128,0,0,0,0,0
640,14.43000031,0,0,0,18,17,41,1,0,2.669309378,306,0,0,0,0,0
641,10,0,0,0,11,26,43,0,0,2.302585125,286,0,0,0,0,0
642,18,0,0,0,16,21,43,0,0,2.890371799,336,0,0,0,0,0
643,6.150000095,1,0,0,12,3,21,0,0,1.816452146,36,1,12,3,0,0
644,23.75,0,0,1,18,28,52,1,0,3.167582512,504,0,0,0,0,0
645,9.25,0,0,0,12,28,46,0,0,2.224623442,336,0,0,0,0,0
646,8.079999924,0,0,0,12,29,47,1,0,2.089391947,348,0,0,0,0,0
